InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV500000,P1022,Dark Chocolate Box,Grocery,1,2025-01-19 17:04:00,468.04,C10555,EIRE
INV500000,P1030,Sports Socks Pack,Apparel,1,2025-01-19 17:04:00,248.3,C10555,EIRE
INV500001,P1006,Wireless Mouse,Electronics,5,2025-10-17 18:50:00,729.12,C10422,India
INV500002,P1010,Protein Shaker,Fitness,2,2025-01-05 22:51:00,329.6,C10262,Netherlands
INV500002,P1022,Dark Chocolate Box,Grocery,1,2025-01-05 22:51:00,526.21,C10262,Netherlands
INV500002,P1018,Hair Care Kit,Beauty,1,2025-01-05 22:51:00,1170.89,C10262,Netherlands
INV500003,P1029,Cotton Bedsheet,Home,2,2025-11-07 19:31:00,1362.89,C10051,United Kingdom
INV500003,P1010,Protein Shaker,Fitness,3,2025-11-07 19:31:00,399.68,C10051,United Kingdom
INV500003,P1025,Kitchen Storage Jars,Home,1,2025-11-07 19:31:00,740.07,C10051,United Kingdom
INV500003,P1026,Smart Watch Strap,Electronics,2,2025-11-07 19:31:00,458.39,C10051,United Kingdom
INV500003,P1008,Scented Candle Set,Home,4,2025-11-07 19:31:00,564.22,C10051,United Kingdom
CINV500004,P1003,Running Shoes,Footwear,-2,2025-07-23 21:51:00,2458.32,C10742,EIRE
CINV500004,P1026,Smart Watch Strap,Electronics,-1,2025-07-23 21:51:00,360.77,,EIRE
CINV500004,P1013,LED Table Lamp,Home,-1,2025-07-23 21:51:00,1450.45,C10742,EIRE
INV500005,P1018,Hair Care Kit,Beauty,2,2025-09-10 09:06:00,1160.62,C10312,United Kingdom
INV500005,P1005,Bluetooth Speaker,Electronics,3,2025-09-10 09:06:00,2463.16,C10312,United Kingdom
INV500006,P1022,Dark Chocolate Box,Grocery,6,2025-05-01 21:23:00,577.62,C10456,India
INV500007,P1001,Organic Cotton T-Shirt,Apparel,12,2025-04-19 18:40:00,550.55,C10094,United Kingdom
INV500007,P1002,Denim Jacket,Apparel,1,2025-04-19 18:40:00,2086.57,C10094,United Kingdom
INV500007,P1026,Smart Watch Strap,Electronics,2,2025-04-19 18:40:00,441.88,C10094,United Kingdom
INV500008,P1005,Bluetooth Speaker,Electronics,1,2025-06-15 08:11:00,1853.5,C10603,United Kingdom
INV500008,P1024,Laptop Sleeve,Accessories,3,2025-06-15 08:11:00,972.54,C10603,United Kingdom
INV500009,P1023,Water Bottle,Fitness,1,2025-07-25 14:43:00,508.6,C10491,United Kingdom
INV500010,P1017,Sunscreen SPF 50,Beauty,4,2025-07-15 17:33:00,429.73,C10333,France
INV500010,P1020,USB-C Cable,Electronics,5,2025-07-15 17:33:00,192.83,C10333,France
INV500011,P1003,Running Shoes,Footwear,4,2025-07-11 10:43:00,2779.48,C10262,Netherlands
INV500011,P1030,Sports Socks Pack,Apparel,2,2025-07-11 10:43:00,316.8,C10262,Netherlands
